rating,date,review
5.0,2025.11.16.,"[국가유산방문코스] 
왕가의 길 2
94p / 경복궁(88번)
입장료가 있습니다. 

도장은 경복궁 안쪽에 있는 카페 사랑(sarang)에 있습니다. 

서울과 수도권에서 만나는 대한민국 역사 여행
경복궁입니다.

경복궁은 유네스코에서 지정하는 '세계유산'은 아니지만, 우리나라 국가유산청에서 지정하고 관리하는 매우 중요한 국가유산입니다.

 경복궁이 국가유산으로 지정된 이유 (사적 제117호)
경복궁은 그 역사적 중요성과 가치를 인정받아 사적(史蹟) 제117호로 지정되어 국가의 보호를 받고 있습니다. 여기서 '사적'은 기념이 될 만한 유적, 즉 역사적으로나 학술적으로 가치가 큰 장소입니다.

경복궁은 조선 왕조의 500년 역사와 이념, 건축 기술이 집약된 가장 중요하고 상징적인 장소이기 때문이죠.

날씨가 좋아 외국인들과 관광객들이 매우 많습니다.

경복궁에 관한 재미있는 이야기들이 많은데 책도 있으니 읽어보시고 눈으로 직접 찾는 재미도 느껴보시길 바랍니다! 접기"
5.0,2025.11.15.,한국 방문 행사로 무료 입장했지만 돈주고라도 또 오고 싶네요.
5.0,2025.11.11.,안 쪽이 아주 예뻐요!! 경복궁 가을은 첨 와봤는데 단풍 궁궐이 참 아름다워요. 사계절 다 와보고 싶어요
5.0,2025.11.07.,A lovely place to visit and dress up in a 한복.
4.0,2025.11.01.,"좋은시민의식 좋아요  
산책로 좋아요"
5.0,2025.10.31.,"올해 여름 운이 좋게 별빛야행과 야간 개장 다녀 옴.
경복궁은 계절마다 주야간 모두 가봐야 함.
오늘은 추석연휴 무료개장이라지만, 관람객이 이렇게 많은건 처음 봄. 내외국인 입장줄이 광화문에서 홍례문까지임. 나올 때도 줄 서서 기다려야 할 정도. 그럼에도 날이 너무 좋아서인지 모든 사람들이 기분좋게 사진찍는 듯. 접기"
5.0,2025.10.31.,날씨가 좋아서 완벽한날
5.0,2025.10.26.,"유정화 변호사는 김건희 경복궁 근정전 어좌 착석 논란과 관련 사진 유포자가 누구인지 알고 있다면서 악의적인 사진 유출을 멈추라고 경고

ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 접기"
5.0,2025.10.19.,"비오는날 경복궁은 최고입니다 
 처마밑에서 비똑똑 떨어지는 소리 들어보세요 
경치가 최고에요"
5.0,2025.10.18.,경치 좋은 곳
5.0,2025.10.12.,"도심 내 궁의.야경은 어떤 느낌일까?
나름의 조화에 감탄하는 하루~"
5.0,2025.10.11.,"서울의 대표적 관광지.
우리나라의 대표적 관광지.
설명할 필요없다. 500년 조선의 법궁 격식에 맞게 잘 지어졌다. 조선의 건국으로 축조, 왜란때의 아픔으로 소실, 흥선대원군이 다시 복구했으며 개항기때는 한반도 최초로 전등이 설치되었고 일제강점기때는 민족의 치욕과 같은 총독부가 설치.. 광복후 중앙청으로 쓰이다 허물고 우리나라가 발전하고 재건되듯이 이 경복궁도 복구 중이다. 현대에는 광화문 광장서 우리가 정치적-민주적인 뜻을 표현하는 곳이기도 하다.  어쩌면 이곳이 우리 민족의 흐름과 축이 아닐까. 꼭 한 번은 와봐야하는 곳. 접기"
